alphanumeric sort	按字母数字顺序排列
leaderboard	排行榜
lens	滤镜
membership	会员
MMSC	MMSC
monthly reset date	每月重置日期
My Family	我的家人
caller ID	来电显示
caller identification	来电显示
affiliate	联盟
Affiliate Program	联盟计划
New releases	最新发布
new+rising	热门新品
Trending	新潮
New + Rising Apps	热门新品应用
New + Rising Games	热门新品游戏
New & Rising	热门新品
NFC reader	NFC 读卡器
NFC transaction	NFC 交易
One time	按流量预付费
Fair Usage Policy	公平使用政策
FUP	公平使用政策(FUP)
Buy Skype Credit	购买Skype点数
Skype Credit	Skype点数
Skype account	Skype帐户
auto top-up	自动充值
auto-recharge	自动充值
auto-redial	自动重拨
Storage Sense	存储感知
birthday reminder	生日提醒
Picks for you	推荐
report lost card	支付卡挂失
landline	座机
live streaming	实时传送视频流
mood message	个人签名
mood panel	个性签名板
live chat customer support	实时聊天客户支持
Skype Name	Skype用户名
Premium account	Premium帐户
social distance	社会距离
schedule performance index (SPI)	日程绩效指数
soft edges	柔化边缘
Screen magnifier	屏幕放大器
settings+pin	设置 + PIN 码
installer	安装程序
Shared notes	共享的笔记
group instant messaging	群组即时消息
group screen sharing	群组屏幕共享
group video	多人视频
group video calling	群组视频通话
Windows Phone Store	Windows Phone 应用商店
.csdef	.csdef
.cscfg	.cscfg
Tap and Send	轻触并发送
Tap to share	触碰以共享
Top Free Apps	热门免费应用
Top Free Games	热门免费游戏
Top free	热门免费
Top paid	热门付费
Top Paid Apps	热门付费应用
Top Paid Games	热门付费游戏
UIM	UIM
UIM card	UIM 卡
unfriend	删除好友
video call	视频通话
Wallet	电子钱包
WAP gateway	WAP 网关
Xbox Music	Xbox Music
Xbox Music Pass	Xbox Music Pass
buzz	动态
company app	企业应用
deal	优惠
rooms+groups	房间 + 群组
slide down	向下滑动
Microsoft Azure Drive	Microsoft Azure 驱动器
personal detail	个人详细信息
independent developer	独立开发人员
individual detail	个人详细信息
Seller Dashboard Agreement	卖家面板协议
app ID	应用程序 ID
app title	应用程序标题
Export Commodity Classification Number	出口商品分类号码
ECCN	ECCN
internal note	内部备注
suspended app	暂停的应用程序
company reference	公司推荐人
listing type	列表类型
duration of trial	试用期
OAuth Client ID	OAuth 客户端 ID
payment service	付款服务
friendly name	易记名称
client secret	客户端密码
call phones	拨打电话
video storage	视频储存
Terms of Use	使用条款
Skype WiFi	Skype WiFi
SkypeKit	SkypeKit
Skype voucher	Skype促销券
Skype-to-Skype call	Skype至Skype通话
calling channel	通话信道
Skype Connect	Skype Connect
Direct Dial number	直拨号码
contact request	添加为联系人请求
group call	群组通话
High Quality Video	优质视频
Invisible	隐身
Do Not Disturb	请勿打搅
Offline	离线
Online	在线
Skype Number	Skype号码
Skype partner	Skype合作伙伴
pay as you go	即付即用
pay monthly	按月付费
photo sharing	照片共享
public chat	公共聊天室
public IM	公共即时消息
Skype call	Skype通话
Skype Click to Call	Skype一键通话
Skype Home	Skype主页
Skype Manager	Skype管理器
Skype messages	Skype消息
video snapshot	视频快照
true sound	真实声音
TV cam	电视摄像头
unlimited calls	无限通话
Unlimited	无限制
video chat	视频聊天
cellular signal	手机网络信号
organizational account	机构帐户
playback order	播放顺序
Yammer	Yammer
Yammer Configuration	Yammer 配置
Post Rule Configurations	公告规则配置
Enable for Yammer	启用 Yammer
Disable for Yammer	禁用 Yammer
activity stream	活动流
achievement	成就
application provider agreement	应用程序提供商协议
iPad	iPad
nonce	nonce
screen reader	屏幕阅读器
assistive technology	辅助技术
live region	活动区域
audio call	音频通话
receive file	接收文件
send file	发送文件
send contact	发送联系人
send SMS	发送手机短信
send text	发送短信
send text message	发送短信
screen sharing	屏幕共享
transfer call	转移来电
voice call	语音通话
access policy	访问策略
Shared Access Signature	共享访问签名
SAS	SAS
ingestion	引入
bulk ingestion	批量引入
BITS	BITS
Kernel-Mode Driver Framework	内核模式驱动程序框架
KMDF	KMDF
locator	定位符
media processor	媒体处理器
video message	视频消息
Skype Premium	Skype Premium
Premium	Premium
Pay As You Go	即付即用
Microsoft Store	Microsoft 商店
Cloud OS	云 OS
Partner of Record	记录合作伙伴
transactional	交易性
Microsoft Account for Organizations	Microsoft 机构帐户
account for organizations	机构帐户
Office 365 Education A2 for Faculty	Office 365 教育版 A2（教职员工）
Office 365 Education A3 for Faculty	Office 365 教育版 A3（教职员工）
Office 365 Education A3 for Faculty Trial	Office 365 教育版 A3（教职员工试用）
Office 365 Education A4 for Faculty	Office 365 教育版 A4（教职员工）
Office 365 Education A2 for Students	Office 365 教育版 A2（学生）
Office 365 Education A3 for Students	Office 365 教育版 A3（学生）
Office 365 Education A3 for Students Trial	Office 365 教育版 A3（学生试用）
Office 365 Education A4 for Students	Office 365 教育版 A4（学生）
Office 365 Government	Office 365 政府版
Office 365 Enterprise E1	Office 365 企业版 E1
Office 365 Enterprise E1 Trial	Office 365 企业版 E1（试用）
Office 365 Enterprise E2	Office 365 企业版 E2
Office 365 Enterprise E3	Office 365 企业版 E3
Office 365 Enterprise E3 Trial	Office 365 企业版 E3（试用）
Office 365 Enterprise E4	Office 365 企业版 E4
Office 365 Enterprise E4 Trial	Office 365 企业版 E4（试用）
Office 365 Enterprise K1	Office 365 企业版 K1
Office 365 Enterprise K1 Trial	Office 365 企业版 K1（试用）
Office 365 Enterprise K2	Office 365 企业版 K2
Office 365 Enterprise K2 Trial	Office 365 企业版 K2（试用）
Office 365 Midsize Business Trial	Office 365 中型企业版（试用）
Office 365 Small Business Premium Trial	Office 365 小型企业高级版（试用）
Government Pricing	政府定价
Office 365 ProPlus A for Students	Office 365 专业增强订阅版 A（学生）
Office 365 ProPlus A for Faculty	Office 365 专业增强订阅版 A（教职员工）
scale unit	缩放单位
directed discovery	导向式发现
crossing extent	交叉盘区
bailor	委托人
operational workflow	即用工作流
post-operational workflow	非即用工作流
2-in-1	二合一
Scenario Power Manager	电源方案管理器
SPM	SPM
storage plan	存储空间套餐
captive portal	强制网络门户
issue slip	发货单
heat	热读写频率
two-step verification	双重验证
scale out	扩大
fan-out query	扇出查询
scale up	增加
scale in	缩小
scale down	减少
Skype world minutes	Skype世界通套餐分钟数
quick view form	快速视图窗体
Graph API	图形 API
Alarms	闹钟
Windows Alarms	Windows 闹钟
Windows Scan	Windows 扫描
Scan	扫描
Movie Moments	影音时光
multicast discovery	多播发现
Hyper-V Guest Interface Service	Hyper-V 来宾接口服务
payload	有效负载
Board	板
task board	任务板
product backlog	产品积压工作
product backlog item	产品积压工作项
backlog priority	积压工作优先级
dial	转盘
slide two fingers	两指滑动
preview	预览
app preview	应用预览
Authenticator	验证器
budget plan	预算计划
budget plan scenario	预算计划方案
budget planning process	预算计划流程
Windows service	Windows 服务
tap two fingers	两指点击
top result	最匹配的结果
swap chain	交换链
Member Count	成员计数
shadowing	影子处理
remote control	远程控制
Open the new opportunity	打开新商机
Change the task status to Completed and close the form	将任务状态更改为“已完成”并关闭窗体
photo loop	连拍
preload	预加载
prefetch	预提取
Record a closed campaign response	记录已结束的市场活动响应
Left voicemail	语音信箱留言
Business Rules	业务规则
Scope	范围
Type	类型
State	状态
Multi-Entity Quick Find	多实体快速查找
Default delimiter	默认分隔符
Automatic mapping	自动映射
Work on the go	移动办公
Pin this list	固定此列表
Pop Out	弹出
Orchestrator Runbook Server	Orchestrator Runbook Server
business process flow	业务流程
Orchestrator Management Service	Orchestrator Management Service
Orchestrator Runbook Server Monitor	Orchestrator Runbook Server Monitor
Orchestrator Runbook Service	Orchestrator Runbook Service
system view	系统视图
Valid for Advanced Find	对高级查找有效
Orchestrator Orchestration Console	Orchestrator Orchestration Console
Development Server	开发服务器
ASP.NET Development Server	ASP.NET 开发服务器
Visual Studio Development Server	Visual Studio 开发服务器
Reading List	阅读列表
Windows Reading List	Windows 阅读列表
virtual machine preservation	虚拟机保留
Image Annotator	图像注解工具
automatic virtual machine activation	虚拟机自动激活
activate-as-activator server	作为激活器激活的服务器
BGP peer	BGP 对等节点
BGP peering	BGP 对等互连
weak PIN	弱 PIN
voiceprint	声纹
Multi-Factor Authentication	Multi-Factor Authentication
Microsoft Azure Multi-Factor Authentication	Microsoft Azure Multi-Factor Authentication
Microsoft Azure Multi-Factor Authentication Server	Microsoft Azure Multi-Factor Authentication 服务器
Multi-Factor Authentication Server	Multi-Factor Authentication 服务器
Multi-Factor Authentication Management Portal	Multi-Factor Authentication 管理门户
Microsoft Azure Multi-Factor Authentication Management Portal	Microsoft Azure Multi-Factor Authentication 管理门户
Microsoft Azure Multi-Factor Authentication User Portal	Microsoft Azure Multi-Factor Authentication 用户门户
Multi-Factor Authentication User Portal	Multi-Factor Authentication 用户门户
Multi-Factor Authentication Service	Multi-Factor Authentication 服务
Microsoft Azure Multi-Factor Authentication Service	Microsoft Azure Multi-Factor Authentication 服务
Multi-Factor Authentication app	Multi-Factor Authentication 应用程序
IP allow list	IP 允许列表
one-time bypass	免验证一次
Certification Authority Web Enrollment	证书颁发机构 Web 注册
child account	儿童帐户
storage tier	存储层
mobile hotspot	移动热点
remote business data removal	远程业务数据删除
Bring Your Own Device	自带设备办公
BYOD	BYOD
automatic file restore	自动文件还原
flyout control	浮出控件
menu flyout	菜单浮出控件
menu flyout control	菜单浮出控件
Settings flyout	“设置”浮出控件
custom dialog control	自定义对话框控件
time picker control	时间选取器控件
hub control	中心控件
rating control	评分控件
repeater control	Repeater 控件
in-app search	应用内搜索
in-app search control	应用内搜索控件
large tile	大磁贴
medium tile	中等磁贴
square tile	方形磁贴
small tile	小磁贴
wide tile	宽形磁贴
save picker	文件保存选取器
folder picker	文件夹选取器
child app container	子应用容器
geofence	地理围栏
Windows User State Migration Tool	Windows 用户状态迁移工具
User State Migration Tool	用户状态迁移工具
USMT	USMT
additional commitment	额外承诺
billable quantity	计费数量
billing period	计费周期
channel partner	渠道合作伙伴
cloud-ready	云就绪
commitment	承诺使用量
commitment balance	承诺余额
commitment order	承诺订单号
commitment part number	承诺产品编号
commitment SKU	承诺 SKU
Enrollment for Application Platform	应用平台合约
EAP	EAP
Enrollment for Core Infrastructure	核心基础结构合约
ECI	ECI
Enrollment for Education Solutions	教育解决方案合约
EES	EES
EWA	EWA
Enrollment for Microsoft Azure	Microsoft Azure 合约
enrollment number	合约编号
Microsoft Azure Enterprise Portal	Microsoft Azure Enterprise Portal
extended price	扩展金额
indirect customer	间接客户
indirect	间接
invitation key	邀请码
invoicing period	开票周期
Microsoft Order Entry Tool	Microsoft 订单录入工具
MOET	MOET
Online Service Supplemental Terms & Conditions	在线服务补充条款与条件
